# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from https://inferencex.semianalysis.com/.
# Official API snapshot retrieved 2026-09-17; latest benchmark 2026-09-17; 82 rows.
Model,Hardware,Framework,Precision,Disaggregated,Prefill GPUs,Decode GPUs,Prefill TP,Decode TP,Prefill EP,Decode EP,Prefill DPA,Decode DPA,Concurrency,Date,P90 Interactivity (tok/s/user),Token Throughput per Chip (tok/s/chip),Run URL
GLM-5.2,mi355x,sglang,fp4,false,4,0,4,0,4,0,false,false,10,2026-09-15,63.85696040868454,12392.87777,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34783501425/attempts/1
GLM-5.2,mi355x,sglang,fp4,false,4,0,4,0,4,0,false,false,12,2026-09-15,51.733057423693744,11196.10424,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34783501425/attempts/1
GLM-5.2,mi355x,sglang,fp4,false,8,0,8,0,1,0,false,false,1,2026-09-15,216.45021645021646,2056.19947,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34783501425/attempts/1
GLM-5.2,mi355x,sglang,fp4,false,8,0,8,0,1,0,false,false,2,2026-09-15,186.219739292365,2301.02583,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34783501425/attempts/1
GLM-5.2,mi355x,sglang,fp4,false,8,0,8,0,1,0,false,false,4,2026-09-15,167.78523489932886,3293.6641,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34783501425/attempts/1
GLM-5.2,mi355x,sglang,fp4,false,8,0,8,0,1,0,false,false,10,2026-09-15,122.24938875305624,7438.34562,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34783501425/attempts/1
GLM-5.2,mi355x,sglang,fp8,false,8,0,8,0,1,0,false,false,1,2026-09-15,167.22408026755852,1672.36872,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34255674868/attempts/2
GLM-5.2,mi355x,sglang,fp8,false,8,0,8,0,1,0,false,false,2,2026-09-15,140.8450704225352,1896.57196,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34255674868/attempts/2
GLM-5.2,mi355x,sglang,fp8,false,8,0,8,0,1,0,false,false,4,2026-09-15,126.58227848101265,2910.96642,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34255674868/attempts/2
GLM-5.2,mi355x,sglang,fp8,false,8,0,8,0,1,0,false,false,8,2026-09-15,84.96176720475786,5131.86824,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34255674868/attempts/2
GLM-5.2,mi355x,sglang,fp8,false,8,0,8,0,1,0,false,false,10,2026-09-15,80,6523.76919,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34255674868/attempts/2
GLM-5.2,mi355x,sglang,fp8,false,8,0,8,0,1,0,false,false,12,2026-09-15,69.83240223463687,6446.89155,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34255674868/attempts/2
GLM-5.2,mi355x,sglang,fp8,false,8,0,8,0,1,0,false,false,16,2026-09-15,28.368794326241137,6943.58481,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34255674868/attempts/2
