[2026-08-24 19:48:46 TP0] Decode batch, #running-req: 1, #token: 78656, token usage: 0.03, accept len: 4.62, accept rate: 0.72, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 76.74, #queue-req: 0
[2026-08-24 19:48:55 TP0] Decode batch, #running-req: 1, #token: 54912, token usage: 0.02, accept len: 4.38, accept rate: 0.68, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 20.02, #queue-req: 0
[2026-08-24 19:48:57 TP0] Decode batch, #running-req: 1, #token: 55104, token usage: 0.02, accept len: 3.83, accept rate: 0.56, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 108.53, #queue-req: 0
[2026-08-24 19:49:00 TP0] Decode batch, #running-req: 1, #token: 56064, token usage: 0.02, accept len: 2.85, accept rate: 0.37, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 38.51, #queue-req: 0
[2026-08-24 19:49:01 TP0] Decode batch, #running-req: 1, #token: 0, token usage: 0.00, accept len: 3.67, accept rate: 0.54, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 105.74, #queue-req: 0
[2026-08-24 19:49:03 TP0] Decode batch, #running-req: 1, #token: 58176, token usage: 0.02, accept len: 3.73, accept rate: 0.55, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 65.30, #queue-req: 0
[2026-08-24 19:49:06 TP0] Decode batch, #running-req: 1, #token: 62144, token usage: 0.03, accept len: 3.35, accept rate: 0.47, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 58.48, #queue-req: 0
[2026-08-24 19:49:09 TP0] Decode batch, #running-req: 1, #token: 72000, token usage: 0.03, accept len: 4.40, accept rate: 0.68, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 56.85, #queue-req: 0
[2026-08-24 19:49:10 TP0] Decode batch, #running-req: 1, #token: 72128, token usage: 0.03, accept len: 4.17, accept rate: 0.64, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 116.38, #queue-req: 0
[2026-08-24 19:49:12 TP0] Decode batch, #running-req: 1, #token: 72320, token usage: 0.03, accept len: 3.38, accept rate: 0.47, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 58.32, #queue-req: 0
[2026-08-24 19:49:15 TP0] Decode batch, #running-req: 1, #token: 73088, token usage: 0.03, accept len: 3.75, accept rate: 0.55, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 64.96, #queue-req: 0
[2026-08-24 19:49:16 TP0] Decode batch, #running-req: 1, #token: 73216, token usage: 0.03, accept len: 3.60, accept rate: 0.52, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 100.14, #queue-req: 0
[2026-08-24 19:49:23 TP0] Decode batch, #running-req: 1, #token: 49408, token usage: 0.02, accept len: 3.60, accept rate: 0.52, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 20.68, #queue-req: 0
[2026-08-24 19:49:24 TP0] Decode batch, #running-req: 1, #token: 49536, token usage: 0.02, accept len: 3.17, accept rate: 0.43, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 89.63, #queue-req: 0
[2026-08-24 19:49:28 TP0] Decode batch, #running-req: 1, #token: 56128, token usage: 0.02, accept len: 4.30, accept rate: 0.66, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 46.33, #queue-req: 0
[2026-08-24 19:49:31 TP0] Decode batch, #running-req: 1, #token: 59968, token usage: 0.03, accept len: 4.83, accept rate: 0.77, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 82.75, #queue-req: 0
[2026-08-24 19:49:33 TP0] Decode batch, #running-req: 1, #token: 60352, token usage: 0.03, accept len: 5.40, accept rate: 0.88, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 96.86, #queue-req: 0
[2026-08-24 19:49:35 TP0] Decode batch, #running-req: 1, #token: 62912, token usage: 0.03, accept len: 4.92, accept rate: 0.79, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 81.93, #queue-req: 0
[2026-08-24 19:49:39 TP0] Decode batch, #running-req: 1, #token: 66560, token usage: 0.03, accept len: 5.88, accept rate: 0.97, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 67.32, #queue-req: 0
[2026-08-24 19:49:42 TP0] Decode batch, #running-req: 1, #token: 72384, token usage: 0.03, accept len: 6.00, accept rate: 1.00, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 62.96, #queue-req: 0
[2026-08-24 19:49:50 TP0] Decode batch, #running-req: 1, #token: 47296, token usage: 0.02, accept len: 4.65, accept rate: 0.73, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 25.34, #queue-req: 0
[2026-08-24 19:49:51 TP0] Decode batch, #running-req: 1, #token: 47360, token usage: 0.02, accept len: 3.00, accept rate: 0.40, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 85.13, #queue-req: 0
[2026-08-24 19:49:53 TP0] Decode batch, #running-req: 1, #token: 49280, token usage: 0.02, accept len: 4.47, accept rate: 0.69, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 90.39, #queue-req: 0
[2026-08-24 19:49:58 TP0] Decode batch, #running-req: 1, #token: 72832, token usage: 0.03, accept len: 4.92, accept rate: 0.79, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 40.59, #queue-req: 0
[2026-08-24 19:50:01 TP0] Decode batch, #running-req: 1, #token: 75456, token usage: 0.03, accept len: 5.65, accept rate: 0.93, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 68.60, #queue-req: 0
[2026-08-24 19:50:10 TP0] Decode batch, #running-req: 1, #token: 64704, token usage: 0.03, accept len: 4.35, accept rate: 0.67, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 19.54, #queue-req: 0
[2026-08-24 19:50:12 TP0] Decode batch, #running-req: 1, #token: 66624, token usage: 0.03, accept len: 4.70, accept rate: 0.74, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 85.71, #queue-req: 0
[2026-08-24 19:50:14 TP0] Decode batch, #running-req: 1, #token: 66816, token usage: 0.03, accept len: 5.30, accept rate: 0.86, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 147.64, #queue-req: 0
[2026-08-24 19:50:16 TP0] Decode batch, #running-req: 1, #token: 0, token usage: 0.00, accept len: 5.90, accept rate: 0.98, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 107.53, #queue-req: 0
[2026-08-24 19:50:20 TP0] Decode batch, #running-req: 1, #token: 71488, token usage: 0.03, accept len: 5.90, accept rate: 0.98, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 55.75, #queue-req: 0
