[2026-08-24 23:24:52 TP0] Decode batch, #running-req: 1, #token: 144192, token usage: 0.06, accept len: 8.58, accept rate: 0.95, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 156.20, #queue-req: 0
[2026-08-24 23:24:54 TP0] Decode batch, #running-req: 1, #token: 145152, token usage: 0.06, accept len: 8.62, accept rate: 0.95, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 182.45, #queue-req: 0
[2026-08-24 23:24:56 TP0] Decode batch, #running-req: 2, #token: 145472, token usage: 0.06, accept len: 4.59, accept rate: 0.45, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 155.08, #queue-req: 0
[2026-08-24 23:24:58 TP0] Decode batch, #running-req: 1, #token: 121728, token usage: 0.05, accept len: 3.72, accept rate: 0.34, pre-allocated usage: 0.02, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 144.10, #queue-req: 0
[2026-08-24 23:25:06 TP0] Decode batch, #running-req: 2, #token: 122688, token usage: 0.05, accept len: 4.40, accept rate: 0.43, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 39.04, #queue-req: 0
[2026-08-24 23:25:07 TP0] Decode batch, #running-req: 1, #token: 129280, token usage: 0.05, accept len: 3.17, accept rate: 0.27, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 90.71, #queue-req: 0
[2026-08-24 23:25:09 TP0] Decode batch, #running-req: 1, #token: 109248, token usage: 0.05, accept len: 6.26, accept rate: 0.66, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 203.96, #queue-req: 0
[2026-08-24 23:25:12 TP0] Decode batch, #running-req: 1, #token: 116224, token usage: 0.05, accept len: 6.96, accept rate: 0.75, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 132.66, #queue-req: 0
[2026-08-24 23:25:15 TP0] Decode batch, #running-req: 2, #token: 122880, token usage: 0.05, accept len: 8.39, accept rate: 0.92, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 205.79, #queue-req: 0
[2026-08-24 23:25:18 TP0] Decode batch, #running-req: 2, #token: 127040, token usage: 0.05, accept len: 7.84, accept rate: 0.85, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 197.54, #queue-req: 0
[2026-08-24 23:25:21 TP0] Decode batch, #running-req: 2, #token: 135424, token usage: 0.06, accept len: 7.02, accept rate: 0.75, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 155.90, #queue-req: 0
[2026-08-24 23:25:28 TP0] Decode batch, #running-req: 2, #token: 113792, token usage: 0.05, accept len: 5.08, accept rate: 0.51, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 36.36, #queue-req: 0
[2026-08-24 23:25:31 TP0] Decode batch, #running-req: 1, #token: 121408, token usage: 0.05, accept len: 4.57, accept rate: 0.45, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 116.00, #queue-req: 0
[2026-08-24 23:25:33 TP0] Decode batch, #running-req: 2, #token: 121792, token usage: 0.05, accept len: 4.99, accept rate: 0.50, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 197.83, #queue-req: 0
[2026-08-24 23:25:38 TP0] Decode batch, #running-req: 2, #token: 120128, token usage: 0.05, accept len: 5.39, accept rate: 0.55, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 63.75, #queue-req: 0
[2026-08-24 23:25:40 TP0] Decode batch, #running-req: 2, #token: 75456, token usage: 0.03, accept len: 5.39, accept rate: 0.55, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 183.09, #queue-req: 0
[2026-08-24 23:25:41 TP0] Decode batch, #running-req: 1, #token: 113984, token usage: 0.05, accept len: 8.49, accept rate: 0.94, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 227.54, #queue-req: 0
[2026-08-24 23:25:51 TP0] Decode batch, #running-req: 1, #token: 137536, token usage: 0.06, accept len: 4.17, accept rate: 0.40, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 16.89, #queue-req: 0
