[2026-08-24 22:10:34 TP0] Decode batch, #running-req: 1, #token: 1115008, token usage: 0.47, accept len: 3.21, accept rate: 0.44, pre-allocated usage: 0.45, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 54.65, #queue-req: 0
[2026-08-24 22:10:35 TP0] Decode batch, #running-req: 3, #token: 1115392, token usage: 0.47, accept len: 3.76, accept rate: 0.55, pre-allocated usage: 0.41, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 232.64, #queue-req: 0
[2026-08-24 22:10:37 TP0] Decode batch, #running-req: 1, #token: 1117632, token usage: 0.47, accept len: 3.50, accept rate: 0.50, pre-allocated usage: 0.45, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 172.81, #queue-req: 0
[2026-08-24 22:10:38 TP0] Decode batch, #running-req: 2, #token: 1120192, token usage: 0.47, accept len: 5.34, accept rate: 0.87, pre-allocated usage: 0.40, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 281.78, #queue-req: 0
[2026-08-24 22:10:51 TP0] Decode batch, #running-req: 2, #token: 1122624, token usage: 0.48, accept len: 4.25, accept rate: 0.65, pre-allocated usage: 0.41, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 22.49, #queue-req: 0
[2026-08-24 22:10:52 TP0] Decode batch, #running-req: 2, #token: 1012928, token usage: 0.43, accept len: 4.37, accept rate: 0.67, pre-allocated usage: 0.35, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 340.31, #queue-req: 0
[2026-08-24 22:10:57 TP0] Decode batch, #running-req: 1, #token: 1016192, token usage: 0.43, accept len: 3.02, accept rate: 0.40, pre-allocated usage: 0.41, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 28.12, #queue-req: 0
[2026-08-24 22:10:58 TP0] Decode batch, #running-req: 1, #token: 1016320, token usage: 0.43, accept len: 3.30, accept rate: 0.46, pre-allocated usage: 0.41, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 99.43, #queue-req: 0
[2026-08-24 22:11:05 TP0] Decode batch, #running-req: 1, #token: 1019008, token usage: 0.43, accept len: 3.30, accept rate: 0.46, pre-allocated usage: 0.41, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 19.01, #queue-req: 0
[2026-08-24 22:11:07 TP0] Decode batch, #running-req: 3, #token: 1019328, token usage: 0.43, accept len: 3.79, accept rate: 0.56, pre-allocated usage: 0.34, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 174.32, #queue-req: 0
